partner_3pl,project_id,market_code,market_name,ffm_fee_per_order,cod_fee_pct,weight_fee_per_kg,currency,valid_from,valid_to
J&T Express,zen8,966,Saudi Arabia,15,0.03,2.5,SAR,2026-01-01,
J&T Express,zen8,971,UAE,18,0.03,3.0,AED,2026-01-01,
Aramex,zen8,966,Saudi Arabia,12,0.025,2.0,SAR,2026-01-01,
SPX Express,zen8,1,Vietnam,8000,0.01,3000,VND,2026-01-01,
J&T Express,trendify,966,Saudi Arabia,16,0.03,2.5,SAR,2026-01-01,
euShipments,stramark,RO,Romania,0.90,0,0,EUR,2026-01-01,
euShipments,stramark,BG,Bulgaria,0.65,0,0,EUR,2026-01-01,
